   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 experimental data for Pd 3d3/2 from W(100)  excited with hv=1810eV

 provided by Pancotti et al. (LNLS in 12, June 2007)
   intial angular momentum (l) = 2
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K

   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      36    504       1      36     14    504
       1     14      9.85000      0      1.00000      0.00000
      76.0000      63999.4      61397.8   -0.0333983
      80.0000      59984.1      61397.8    0.0796087
      84.0000      62319.1      61397.8   -0.0508564
      88.0000      63475.3      61397.8    0.0195189
      92.0000      63503.2      61397.8   -0.0516601
      96.0000      61487.0      61397.8    0.0283667
      100.000      59046.0      61397.8    0.0538297
      104.000      66226.6      61397.8   -0.0584031
      108.000      64534.9      61397.8   -0.0154644
      112.000      59116.9      61397.8    0.0212604
      116.000      62687.2      61397.8    0.0238323
      120.000      57043.5      61397.8    0.0050396
      124.000      62694.9      61397.8   -0.0373579
      128.000      53451.7      61397.8    0.0155745
       2     14      9.85000      2      1.00000      0.00000
      76.0000      59913.1      60257.2   -0.0370498
      80.0000      61466.1      60257.2    0.1138122
      84.0000      61137.6      60257.2   -0.1144551
      88.0000      61484.3      60257.2    0.0508936
      92.0000      59789.8      60257.2   -0.0579990
      96.0000      60273.8      60257.2    0.0392078
      100.000      58981.9      60257.2    0.0551399
      104.000      64799.5      60257.2   -0.0386637
      108.000      63705.7      60257.2   -0.0148681
      112.000      57426.7      60257.2   -0.0191961
      116.000      63406.1      60257.2    0.0122167
      120.000      52568.1      60257.2    0.0090577
      124.000      64584.3      60257.2    0.0149902
      128.000      54064.1      60257.2   -0.0131163
       3     14      9.85000      4      1.00000      0.00000
      76.0000      58356.8      56831.4   -0.0628632
      80.0000      60565.7      56831.4    0.1201982
      84.0000      58300.3      56831.4   -0.0919497
      88.0000      58159.4      56831.4    0.0987551
      92.0000      56072.9      56831.4   -0.0479320
      96.0000      55467.0      56831.4   -0.0222248
      100.000      52529.3      56831.4    0.0371762
      104.000      57943.1      56831.4   -0.0585527
      108.000      54789.7      56831.4   -0.0073466
      112.000      53554.6      56831.4   -0.0015838
      116.000      62037.2      56831.4    0.0257130
      120.000      51408.9      56831.4    0.0130662
      124.000      63468.7      56831.4    0.0308229
      128.000      52986.5      56831.4   -0.0333890
       4     14      9.85000      6      1.00000      0.00000
      76.0000      54252.7      50698.5   -0.0161467
      80.0000      56347.4      50698.5    0.0518166
      84.0000      52952.6      50698.5   -0.0451727
      88.0000      52472.9      50698.5    0.0159797
      92.0000      53576.5      50698.5   -0.0167938
      96.0000      51093.0      50698.5   -0.0331850
      100.000      49634.4      50698.5    0.0690310
      104.000      52949.8      50698.5   -0.0175741
      108.000      47046.7      50698.5   -0.0090461
      112.000      47186.0      50698.5    0.0192427
      116.000      48359.6      50698.5   -0.0185016
      120.000      45411.2      50698.5   -0.0225364
      124.000      50435.5      50698.5    0.0315825
      128.000      48061.0      50698.5   -0.0087475
       5     14      9.85000      8      1.00000      0.00000
      76.0000      48483.3      46260.5   -0.0123686
      80.0000      51322.8      46260.5    0.0348275
      84.0000      48016.4      46260.5   -0.0355761
      88.0000      48332.9      46260.5    0.0277038
      92.0000      47675.9      46260.5   -0.0141094
      96.0000      46300.7      46260.5   -0.0448538
      100.000      45639.8      46260.5    0.0735980
      104.000      48891.3      46260.5   -0.0138487
      108.000      42854.7      46260.5   -0.0157333
      112.000      43687.5      46260.5   -0.0019779
      116.000      45142.8      46260.5   -0.0017974
      120.000      42199.5      46260.5   -0.0188706
      124.000      45380.4      46260.5    0.0414352
      128.000      43718.7      46260.5   -0.0184204
       6     14      9.85000      10      1.00000      0.00000
      76.0000      43936.5      42795.8    0.0031636
      80.0000      45892.7      42795.8    0.0301032
      84.0000      44478.0      42795.8   -0.0454599
      88.0000      43929.9      42795.8   -0.0023667
      92.0000      45930.6      42795.8   -0.0108329
      96.0000      44385.6      42795.8   -0.0257074
      100.000      43282.6      42795.8    0.0892442
      104.000      47248.7      42795.8   -0.0196279
      108.000      41417.2      42795.8   -0.0086914
      112.000      41146.3      42795.8    0.0160719
      116.000      40592.1      42795.8   -0.0321026
      120.000      38023.8      42795.8   -0.0175623
      124.000      40262.6      42795.8    0.0241083
      128.000      38614.3      42795.8   -0.0004091
       7     14      9.85000      12      1.00000      0.00000
