   323    17    0     datakind beginning-row linenumbers
----------------------------------------------------------------
MSCD Version 1.00 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA 94720
Copyright (c) Van Hove Group 1997. All rights reserved
--------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 experimental data for Pd 3d3/2 from W(100)  excited with hv=1810eV

 provided by Pancotti et al. (LNLS in 12, June 2007)
   intial angular momentum (l) = 2
   photon polarization angle (polar,azimuth) = (  30.0,   0.0 ) (deg)
   sample temperature = 300 K

   photoemission angular scan curves
     (curve point theta phi weightc weighte//k intensity chiexp)
      36    468       1      36     13    468
       1     13      9.85000      0      1.00000      0.00000
      76.0000      59984.1      61197.7   -0.0386483
      80.0000      62319.1      61197.7    0.0810141
      84.0000      63475.3      61197.7   -0.0469382
      88.0000      63503.2      61197.7    0.0238619
      92.0000      61487.0      61197.7   -0.0491475
      96.0000      59046.0      61197.7    0.0284792
      100.000      66226.6      61197.7    0.0510747
      104.000      64534.9      61197.7   -0.0629160
      108.000      59116.9      61197.7   -0.0210588
      112.000      62687.2      61197.7    0.0166595
      116.000      57043.5      61197.7    0.0233791
      120.000      62694.9      61197.7    0.0124360
      124.000      53451.7      61197.7   -0.0183274
       2     13      9.85000      2      1.00000      0.00000
      76.0000      61466.1      60283.7   -0.0328291
      80.0000      61137.6      60283.7    0.1126368
      84.0000      61484.3      60283.7   -0.1174355
      88.0000      59789.8      60283.7    0.0472209
      92.0000      60273.8      60283.7   -0.0600595
      96.0000      58981.9      60283.7    0.0391134
      100.000      64799.5      60283.7    0.0574410
      104.000      63705.7      60283.7   -0.0348094
      108.000      57426.7      60283.7   -0.0101836
      112.000      63406.1      60283.7   -0.0155090
      116.000      52568.1      60283.7    0.0125880
      120.000      64584.3      60283.7    0.0029740
      124.000      54064.1      60283.7   -0.0011742
       3     13      9.85000      4      1.00000      0.00000
      76.0000      60565.7      56714.1   -0.0524690
      80.0000      58300.3      56714.1    0.1171409
      84.0000      58159.4      56714.1   -0.1000168
      88.0000      56072.9      56714.1    0.0884290
      92.0000      55467.0      56714.1   -0.0536238
      96.0000      52529.3      56714.1   -0.0224707
      100.000      57943.1      56714.1    0.0434953
      104.000      54789.7      56714.1   -0.0479698
      108.000      53554.6      56714.1    0.0058483
      112.000      62037.2      56714.1    0.0087975
      116.000      51408.9      56714.1    0.0267340
      120.000      63468.7      56714.1   -0.0030510
      124.000      52986.5      56714.1   -0.0109408
       4     13      9.85000      6      1.00000      0.00000
      76.0000      56347.4      50425.1   -0.0131708
      80.0000      52952.6      50425.1    0.0510094
      84.0000      52472.9      50425.1   -0.0475864
      88.0000      53576.5      50425.1    0.0132715
      92.0000      51093.0      50425.1   -0.0184372
      96.0000      49634.4      50425.1   -0.0332515
      100.000      52949.8      50425.1    0.0707681
      104.000      47046.7      50425.1   -0.0147012
      108.000      47186.0      50425.1   -0.0056887
      112.000      48359.6      50425.1    0.0219113
      116.000      45411.2      50425.1   -0.0182557
      120.000      50435.5      50425.1   -0.0265071
      124.000      48061.0      50425.1    0.0205730
       5     13      9.85000      8      1.00000      0.00000
      76.0000      51322.8      46089.5   -0.0060828
      80.0000      48016.4      46089.5    0.0331786
      84.0000      48332.9      46089.5   -0.0405983
      88.0000      47675.9      46089.5    0.0220781
      92.0000      46300.7      46089.5   -0.0174951
      96.0000      45639.8      46089.5   -0.0449892
      100.000      48891.3      46089.5    0.0772100
      104.000      42854.7      46089.5   -0.0078472
      108.000      43687.5      46089.5   -0.0087617
      112.000      45142.8      46089.5    0.0035020
      116.000      42199.5      46089.5   -0.0012725
      120.000      45380.4      46089.5   -0.0272175
      124.000      43718.7      46089.5    0.0182965
       6     13      9.85000      10      1.00000      0.00000
      76.0000      45892.7      42708.0    0.0033078
      80.0000      44478.0      42708.0    0.0300667
      84.0000      43929.9      42708.0   -0.0455684
      88.0000      45930.6      42708.0   -0.0024838
      92.0000      44385.6      42708.0   -0.0109046
      96.0000      43282.6      42708.0   -0.0257103
      100.000      47248.7      42708.0    0.0893200
      104.000      41417.2      42708.0   -0.0195051
      108.000      41146.3      42708.0   -0.0085466
      112.000      40592.1      42708.0    0.0161878
      116.000      38023.8      42708.0   -0.0320919
      120.000      40262.6      42708.0   -0.0177423
      124.000      38614.3      42708.0    0.0236028
       7     13      9.85000      12      1.00000      0.00000
      76.0000      42305.5      41346.2   -0.0100527
      80.0000      43705.5      41346.2    0.0383155
      84.0000      42894.6      41346.2   -0.0320789
      88.0000      44873.8      41346.2    0.0022224
      92.0000      43165.3      41346.2   -0.0123768
      96.0000      41784.7      41346.2   -0.0319843
      100.000      46238.8      41346.2    0.0891093
      104.000      40171.8      41346.2   -0.0339605
      108.000      39959.6      41346.2   -0.0148708
      112.000      39503.2      41346.2    0.0182575
      116.000      37207.9      41346.2   -0.0236655
      120.000      39054.1      41346.2    0.0085261
      124.000      36635.5      41346.2    0.0025466
       8     13      9.85000      14      1.00000      0.00000
      76.0000      42849.2      41723.7   -0.0021024
      80.0000      44303.2      41723.7    0.0392562
      84.0000      43127.5      41723.7   -0.0451851
      88.0000      44604.0      41723.7    0.0023353
      92.0000      43987.3      41723.7   -0.0297828
      96.0000      43289.3      41723.7   -0.0308065
      100.000      47381.2      41723.7    0.1078124
      104.000      40336.2      41723.7   -0.0110348
      108.000      39232.6      41723.7   -0.0116384
      112.000      39437.6      41723.7   -0.0054646
      116.000      36726.5      41723.7   -0.0348317
      120.000      39401.5      41723.7    0.0094156
      124.000      37732.0      41723.7    0.0118508
       9     13      9.85000      16      1.00000      0.00000
      76.0000      42170.5      42729.2    0.0053574
      80.0000      44844.6      42729.2    0.0336120
      84.0000      44523.5      42729.2   -0.0444034
      88.0000      45610.3      42729.2   -0.0077743
      92.0000      46182.9      42729.2   -0.0363808
      96.0000      45149.3      42729.2   -0.0379278
      100.000      50927.8      42729.2    0.1429022
      104.000      41411.2      42729.2   -0.0145265
      108.000      39949.0      42729.2   -0.0093053
      112.000      39681.0      42729.2   -0.0248847
      116.000      37114.5      42729.2   -0.0341183
      120.000      39473.8      42729.2    0.0102138
      124.000      38441.3      42729.2    0.0169451
      10     13      9.85000      18      1.00000      0.00000
      76.0000      43945.3      45775.6    0.0336633
      80.0000      46210.1      45775.6    0.0169535
      84.0000      45890.5      45775.6   -0.0671220
      88.0000      48816.5      45775.6   -0.0409976
      92.0000      49202.6      45775.6   -0.0146163
      96.0000      49823.7      45775.6   -0.0023153
      100.000      55988.8      45775.6    0.1414484
      104.000      47502.3      45775.6   -0.0039428
      108.000      45191.8      45775.6   -0.0231325
      112.000      42153.0      45775.6   -0.0224087
      116.000      39224.6      45775.6   -0.0551409
      120.000      40976.3      45775.6    0.0021380
      124.000      40157.4      45775.6    0.0362357
      11     13      9.85000      20      1.00000      0.00000
      76.0000      44971.1      46051.5    0.0207714
      80.0000      44688.0      46051.5    0.0267531
      84.0000      45055.0      46051.5   -0.0659915
      88.0000      48863.9      46051.5   -0.0065906
      92.0000      48560.1      46051.5   -0.0331498
      96.0000      49520.8      46051.5   -0.0144087
      100.000      55130.6      46051.5    0.1233983
      104.000      47510.9      46051.5    0.0001716
      108.000      45408.7      46051.5   -0.0181238
      112.000      45117.3      46051.5    0.0003695
      116.000      40741.4      46051.5   -0.0538467
      120.000      42750.9      46051.5   -0.0224627
      124.000      40350.2      46051.5    0.0440988
      12     13      9.85000      22      1.00000      0.00000
      76.0000      44512.1      44788.0    0.0097500
      80.0000      43939.4      44788.0    0.0257250
      84.0000      43714.6      44788.0   -0.0469131
      88.0000      47049.1      44788.0   -0.0002318
      92.0000      46809.4      44788.0   -0.0302782
      96.0000      46687.8      44788.0   -0.0133270
      100.000      51847.2      44788.0    0.0983066
      104.000      46098.4      44788.0   -0.0139109
      108.000      44491.5      44788.0   -0.0072301
      112.000      44665.6      44788.0    0.0090411
      116.000      41075.6      44788.0   -0.0452736
      120.000      42193.9      44788.0   -0.0156907
      124.000      39159.4      44788.0    0.0305219
      13     13      9.85000      24      1.00000      0.00000
      76.0000      43316.3      42506.4    0.0039421
      80.0000      42503.9      42506.4    0.0295656
      84.0000      41080.9      42506.4   -0.0472586
      88.0000      44827.9      42506.4    0.0128894
      92.0000      43855.1      42506.4   -0.0401853
      96.0000      43106.5      42506.4   -0.0088183
      100.000      47784.9      42506.4    0.0893759
      104.000      43123.3      42506.4   -0.0209293
      108.000      41221.0      42506.4   -0.0034307
      112.000      42719.1      42506.4    0.0232961
      116.000      39238.0      42506.4   -0.0543169
      120.000      41146.3      42506.4   -0.0095549
      124.000      38659.9      42506.4    0.0255672
      14     13      9.85000      26      1.00000      0.00000
      76.0000      43435.7      40990.9    0.0152570
      80.0000      43805.6      40990.9    0.0302597
      84.0000      41427.1      40990.9   -0.0655468
      88.0000      41486.5      40990.9   -0.0048151
      92.0000      41543.2      40990.9   -0.0438938
      96.0000      42075.9      40990.9    0.0100111
      100.000      46720.1      40990.9    0.1200721
      104.000      41540.2      40990.9   -0.0027506
      108.000      38672.0      40990.9   -0.0239850
      112.000      39482.6      40990.9   -0.0312098
      116.000      36268.3      40990.9   -0.0357606
      120.000      39014.5      40990.9    0.0191978
      124.000      37409.8      40990.9    0.0132250
      15     13      9.85000      28      1.00000      0.00000
      76.0000      44247.6      40713.3    0.0329621
      80.0000      45083.3      40713.3    0.0143638
      84.0000      41420.1      40713.3   -0.0802882
      88.0000      42222.6      40713.3   -0.0180373
      92.0000      39799.4      40713.3   -0.0318534
      96.0000      41164.6      40713.3    0.0210333
      100.000      47400.7      40713.3    0.1556562
      104.000      41104.2      40713.3   -0.0135916
      108.000      38222.1      40713.3   -0.0608869
      112.000      38009.0      40713.3   -0.0166129
      116.000      34916.2      40713.3   -0.0450887
      120.000      37810.7      40713.3    0.0322357
      124.000      37873.0      40713.3    0.0099840
      16     13      9.85000      30      1.00000      0.00000
      76.0000      43301.6      41039.3    0.0389122
      80.0000      43934.3      41039.3    0.0184900
      84.0000      41920.1      41039.3   -0.0834732
      88.0000      41237.2      41039.3   -0.0464935
      92.0000      40372.5      41039.3   -0.0305449
      96.0000      42304.8      41039.3    0.0353985
      100.000      49089.8      41039.3    0.1707765
      104.000      42648.1      41039.3   -0.0055609
      108.000      39125.9      41039.3   -0.0609158
      112.000      37635.0      41039.3   -0.0464118
      116.000      35340.7      41039.3   -0.0310864
      120.000      38357.8      41039.3    0.0212813
      124.000      38243.7      41039.3    0.0195687
      17     13      9.85000      32      1.00000      0.00000
      76.0000      40258.3      41034.9    0.0404857
      80.0000      41212.0      41034.9    0.0222897
      84.0000      40571.7      41034.9   -0.0868804
      88.0000      41929.1      41034.9   -0.0524954
      92.0000      40360.7      41034.9   -0.0233690
      96.0000      43244.5      41034.9    0.0403529
      100.000      50309.3      41034.9    0.1627673
      104.000      44401.6      41034.9   -0.0066846
      108.000      40824.3      41034.9   -0.0712530
      112.000      38525.9      41034.9   -0.0249870
      116.000      35872.1      41034.9   -0.0373716
      120.000      38544.2      41034.9    0.0086521
      124.000      37399.5      41034.9    0.0293458
      18     13      9.85000      34      1.00000      0.00000
      76.0000      39390.1      40492.8    0.0443872
      80.0000      39962.7      40492.8    0.0088765
      84.0000      39571.9      40492.8   -0.0803402
      88.0000      40076.7      40492.8   -0.0343861
      92.0000      40344.7      40492.8   -0.0244705
      96.0000      42772.2      40492.8    0.0320147
      100.000      49244.1      40492.8    0.1454045
      104.000      44089.2      40492.8   -0.0031392
      108.000      41030.2      40492.8   -0.0506582
      112.000      39564.0      40492.8   -0.0411900
      116.000      36260.6      40492.8   -0.0311224
      120.000      37723.8      40492.8    0.0075009
      124.000      36376.1      40492.8    0.0285035
      19     13      9.85000      36      1.00000      0.00000
      76.0000      38649.5      40304.3    0.0200915
      80.0000      42112.9      40304.3    0.0125107
      84.0000      40714.4      40304.3   -0.0531936
      88.0000      41458.6      40304.3   -0.0115502
      92.0000      39964.6      40304.3   -0.0233028
      96.0000      41834.4      40304.3    0.0233679
      100.000      47038.3      40304.3    0.1090685
      104.000      42882.0      40304.3   -0.0184535
      108.000      40138.4      40304.3   -0.0601916
      112.000      39534.2      40304.3   -0.0156633
      116.000      36553.5      40304.3   -0.0165420
      120.000      37395.1      40304.3    0.0433558
      124.000      35680.6      40304.3   -0.0091247
      20     13      9.85000      38      1.00000      0.00000
      76.0000      40642.0      39498.4    0.0002499
      80.0000      43275.5      39498.4    0.0317604
      84.0000      40690.2      39498.4   -0.0435866
      88.0000      41907.1      39498.4   -0.0060194
      92.0000      38111.8      39498.4   -0.0304254
      96.0000      39234.7      39498.4    0.0180624
      100.000      44049.2      39498.4    0.1043518
      104.000      39979.9      39498.4   -0.0299912
      108.000      37455.9      39498.4   -0.0686400
      112.000      37772.8      39498.4    0.0153679
      116.000      35783.2      39498.4   -0.0188497
      120.000      38073.0      39498.4    0.0431505
      124.000      36504.4      39498.4   -0.0154705
      21     13      9.85000      40      1.00000      0.00000
      76.0000      40188.4      37561.7    0.0284270
      80.0000      40606.2      37561.7    0.0096383
      84.0000      38716.3      37561.7   -0.0699658
      88.0000      38090.2      37561.7   -0.0210618
      92.0000      35640.1      37561.7   -0.0186859
      96.0000      36439.3      37561.7    0.0484656
      100.000      42265.9      37561.7    0.1247486
      104.000      39067.9      37561.7   -0.0383345
      108.000      36231.5      37561.7   -0.0676337
      112.000      35764.8      37561.7   -0.0132299
      116.000      33554.2      37561.7   -0.0083008
      120.000      35874.3      37561.7    0.0262907
      124.000      35863.6      37561.7   -0.0002848
      22     13      9.85000      42      1.00000      0.00000
      76.0000      39391.1      35098.2    0.0447183
      80.0000      39307.9      35098.2   -0.0005073
      84.0000      35369.3      35098.2   -0.0894275
      88.0000      35173.0      35098.2   -0.0225331
      92.0000      32429.3      35098.2   -0.0105029
      96.0000      34189.7      35098.2    0.0632441
      100.000      39191.4      35098.2    0.1222723
      104.000      37052.0      35098.2   -0.0237129
      108.000      34334.4      35098.2   -0.0798922
      112.000      33598.2      35098.2   -0.0146924
      116.000      30748.8      35098.2   -0.0304022
      120.000      32768.9      35098.2    0.0429627
      124.000      32723.0      35098.2   -0.0009782
      23     13      9.85000      44      1.00000      0.00000
      76.0000      37823.0      33528.3    0.0509550
      80.0000      37515.5      33528.3   -0.0134997
      84.0000      34366.8      33528.3   -0.0822074
      88.0000      34334.7      33528.3   -0.0274434
      92.0000      32593.6      33528.3    0.0110005
      96.0000      32007.7      33528.3    0.0610125
      100.000      37625.3      33528.3    0.1102891
      104.000      35734.9      33528.3   -0.0598228
      108.000      33680.0      33528.3   -0.0485488
      112.000      31784.3      33528.3   -0.0085929
      116.000      29071.7      33528.3   -0.0258375
      120.000      29782.2      33528.3    0.0334273
      124.000      29548.8      33528.3    0.0003250
      24     13      9.85000      46      1.00000      0.00000
      76.0000      37766.9      33075.8    0.0120917
      80.0000      37099.0      33075.8    0.0214847
      84.0000      34756.7      33075.8   -0.0515231
      88.0000      36267.8      33075.8   -0.0199066
      92.0000      32989.5      33075.8   -0.0108777
      96.0000      31787.5      33075.8    0.0285408
      100.000      35798.7      33075.8    0.0942626
      104.000      32900.2      33075.8   -0.0509527
      108.000      30989.0      33075.8   -0.0383826
      112.000      30148.8      33075.8    0.0323084
      116.000      28738.8      33075.8   -0.0333238
      120.000      30608.6      33075.8    0.0093856
      124.000      30134.4      33075.8    0.0068044
      25     13      9.85000      48      1.00000      0.00000
      76.0000      36971.6      33621.9   -0.0180577
      80.0000      35839.7      33621.9    0.0418943
      84.0000      35281.1      33621.9   -0.0092547
      88.0000      39874.9      33621.9   -0.0123808
      92.0000      36327.0      33621.9   -0.0076958
      96.0000      32634.2      33621.9   -0.0238854
      100.000      35212.2      33621.9    0.0550487
      104.000      31306.3      33621.9   -0.0598806
      108.000      30734.8      33621.9    0.0113906
      112.000      29871.0      33621.9    0.0829101
      116.000      29779.2      33621.9   -0.0530357
      120.000      31858.0      33621.9   -0.0327964
      124.000      31395.1      33621.9    0.0256320
      26     13      9.85000      50      1.00000      0.00000
      76.0000      35647.2      34277.5   -0.0380647
      80.0000      34854.5      34277.5    0.0828872
      84.0000      35263.2      34277.5   -0.0036968
      88.0000      38242.3      34277.5   -0.0274129
      92.0000      37508.6      34277.5   -0.0334634
      96.0000      33789.6      34277.5   -0.0597275
      100.000      37446.9      34277.5    0.0988396
      104.000      30968.7      34277.5   -0.0414221
      108.000      30950.3      34277.5    0.0347487
      112.000      30672.3      34277.5    0.0370472
      116.000      31563.9      34277.5   -0.0451569
      120.000      35361.4      34277.5   -0.0375128
      124.000      33339.0      34277.5    0.0325920
      27     13      9.85000      52      1.00000      0.00000
      76.0000      33511.9      34346.0   -0.0135471
      80.0000      33505.5      34346.0    0.0674123
      84.0000      34018.7      34346.0   -0.0490565
      88.0000      37375.5      34346.0   -0.0409145
      92.0000      35702.4      34346.0   -0.0023408
      96.0000      33957.6      34346.0   -0.0045034
      100.000      38915.8      34346.0    0.1008489
      104.000      34574.7      34346.0   -0.0521732
      108.000      33986.8      34346.0   -0.0099376
      112.000      32086.8      34346.0    0.0395364
      116.000      31378.2      34346.0   -0.0392361
      120.000      34999.4      34346.0   -0.0238479
      124.000      32484.4      34346.0    0.0278565
      28     13      9.85000      54      1.00000      0.00000
      76.0000      32554.5      33112.0    0.0384260
      80.0000      31620.8      33112.0    0.0303713
      84.0000      30739.8      33112.0   -0.0975553
      88.0000      32809.2      33112.0   -0.0601167
      92.0000      32178.3      33112.0    0.0094269
      96.0000      32509.3      33112.0    0.0481349
      100.000      39926.9      33112.0    0.1479532
      104.000      36730.0      33112.0   -0.0516616
      108.000      35303.7      33112.0   -0.0432862
      112.000      32407.5      33112.0   -0.0038418
      116.000      30204.1      33112.0   -0.0476520
