theta phi intensity
0 128.0 63999.4
2 128.0 59913.1
4 128.0 58356.8
6 128.0 54252.7
8 128.0 48483.3
10 128.0 43936.5
12 128.0 39381.9
14 128.0 39899.8
16 128.0 40682.9
18 128.0 42670.5
20 128.0 43968.8
22 128.0 43924.3
24 128.0 43101.1
26 128.0 42451.0
28 128.0 42490.8
30 128.0 40436.7
32 128.0 38484.2
34 128.0 38061.2
36 128.0 37212.0
38 128.0 37774.9
40 128.0 37914.8
42 128.0 37371.4
44 128.0 36543.0
46 128.0 38134.7
48 128.0 37857.4
50 128.0 36379.0
52 128.0 32773.3
54 128.0 31247.4
56 128.0 31252.9
58 128.0 29611.3
60 128.0 27513.2
62 128.0 25579.2
64 128.0 23957.8
66 128.0 22973.9
68 128.0 21246.0
70 128.0 19534.2
0 124.0 59984.1
2 124.0 61466.1
4 124.0 60565.7
6 124.0 56347.4
8 124.0 51322.8
10 124.0 45892.7
12 124.0 42305.5
14 124.0 42849.2
16 124.0 42170.5
18 124.0 43945.3
20 124.0 44971.1
22 124.0 44512.1
24 124.0 43316.3
26 124.0 43435.7
28 124.0 44247.6
30 124.0 43301.6
32 124.0 40258.3
34 124.0 39390.1
36 124.0 38649.5
38 124.0 40642.0
40 124.0 40188.4
42 124.0 39391.1
44 124.0 37823.0
46 124.0 37766.9
48 124.0 36971.6
50 124.0 35647.2
52 124.0 33511.9
54 124.0 32554.5
56 124.0 32593.9
58 124.0 31612.2
60 124.0 30076.8
62 124.0 27397.1
64 124.0 25557.8
66 124.0 23319.4
68 124.0 21715.5
70 124.0 19612.4
0 120.0 62319.1
2 120.0 61137.6
4 120.0 58300.3
6 120.0 52952.6
8 120.0 48016.4
10 120.0 44478.0
12 120.0 43705.5
14 120.0 44303.2
16 120.0 44844.6
18 120.0 46210.1
20 120.0 44688.0
22 120.0 43939.4
24 120.0 42503.9
26 120.0 43805.6
28 120.0 45083.3
30 120.0 43934.3
32 120.0 41212.0
34 120.0 39962.7
36 120.0 42112.9
38 120.0 43275.5
40 120.0 40606.2
42 120.0 39307.9
44 120.0 37515.5
46 120.0 37099.0
48 120.0 35839.7
50 120.0 34854.5
52 120.0 33505.5
54 120.0 31620.8
56 120.0 30001.0
58 120.0 29864.4
60 120.0 28461.3
62 120.0 26642.5
64 120.0 24763.7
66 120.0 23456.3
68 120.0 22352.4
70 120.0 20548.7
0 116.0 63475.3
2 116.0 61484.3
4 116.0 58159.4
6 116.0 52472.9
8 116.0 48332.9
10 116.0 43929.9
12 116.0 42894.6
14 116.0 43127.5
16 116.0 44523.5
18 116.0 45890.5
20 116.0 45055.0
22 116.0 43714.6
24 116.0 41080.9
26 116.0 41427.1
28 116.0 41420.1
30 116.0 41920.1
32 116.0 40571.7
34 116.0 39571.9
36 116.0 40714.4
38 116.0 40690.2
40 116.0 38716.3
42 116.0 35369.3
44 116.0 34366.8
46 116.0 34756.7
48 116.0 35281.1
50 116.0 35263.2
52 116.0 34018.7
54 116.0 30739.8
56 116.0 28162.2
58 116.0 27361.8
60 116.0 26435.3
62 116.0 25962.6
64 116.0 25677.2
66 116.0 24365.5
68 116.0 23812.8
70 116.0 20750.5
0 112.0 63503.2
2 112.0 59789.8
4 112.0 56072.9
6 112.0 53576.5
8 112.0 47675.9
10 112.0 45930.6
12 112.0 44873.8
14 112.0 44604.0
16 112.0 45610.3
18 112.0 48816.5
20 112.0 48863.9
22 112.0 47049.1
24 112.0 44827.9
26 112.0 41486.5
28 112.0 42222.6
30 112.0 41237.2
32 112.0 41929.1
34 112.0 40076.7
36 112.0 41458.6
38 112.0 41907.1
40 112.0 38090.2
42 112.0 35173.0
44 112.0 34334.7
46 112.0 36267.8
48 112.0 39874.9
50 112.0 38242.3
52 112.0 37375.5
54 112.0 32809.2
56 112.0 27009.6
58 112.0 27127.6
60 112.0 26845.3
62 112.0 28797.2
64 112.0 28221.4
66 112.0 24177.1
68 112.0 24912.7
70 112.0 20276.8
0 108.0 61487.0
2 108.0 60273.8
4 108.0 55467.0
6 108.0 51093.0
8 108.0 46300.7
10 108.0 44385.6
12 108.0 43165.3
14 108.0 43987.3
16 108.0 46182.9
18 108.0 49202.6
20 108.0 48560.1
22 108.0 46809.4
24 108.0 43855.1
26 108.0 41543.2
28 108.0 39799.4
30 108.0 40372.5
32 108.0 40360.7
34 108.0 40344.7
36 108.0 39964.6
38 108.0 38111.8
40 108.0 35640.1
42 108.0 32429.3
44 108.0 32593.6
46 108.0 32989.5
48 108.0 36327.0
50 108.0 37508.6
52 108.0 35702.4
54 108.0 32178.3
56 108.0 28337.5
58 108.0 26885.2
60 108.0 27209.4
62 108.0 27018.2
64 108.0 25919.0
66 108.0 23509.3
68 108.0 21003.4
70 108.0 18598.1
0 104.0 59046.0
2 104.0 58981.9
4 104.0 52529.3
6 104.0 49634.4
8 104.0 45639.8
10 104.0 43282.6
12 104.0 41784.7
14 104.0 43289.3
16 104.0 45149.3
18 104.0 49823.7
20 104.0 49520.8
22 104.0 46687.8
24 104.0 43106.5
26 104.0 42075.9
28 104.0 41164.6
30 104.0 42304.8
32 104.0 43244.5
34 104.0 42772.2
36 104.0 41834.4
38 104.0 39234.7
40 104.0 36439.3
42 104.0 34189.7
44 104.0 32007.7
46 104.0 31787.5
48 104.0 32634.2
50 104.0 33789.6
52 104.0 33957.6
54 104.0 32509.3
56 104.0 30370.6
58 104.0 28377.3
60 104.0 26539.3
62 104.0 25045.5
64 104.0 22923.8
66 104.0 20361.3
68 104.0 18199.0
70 104.0 16502.5
0 100.0 66226.6
2 100.0 64799.5
4 100.0 57943.1
6 100.0 52949.8
8 100.0 48891.3
10 100.0 47248.7
12 100.0 46238.8
14 100.0 47381.2
16 100.0 50927.8
18 100.0 55988.8
20 100.0 55130.6
22 100.0 51847.2
24 100.0 47784.9
26 100.0 46720.1
28 100.0 47400.7
30 100.0 49089.8
32 100.0 50309.3
34 100.0 49244.1
36 100.0 47038.3
38 100.0 44049.2
40 100.0 42265.9
42 100.0 39191.4
44 100.0 37625.3
46 100.0 35798.7
48 100.0 35212.2
50 100.0 37446.9
52 100.0 38915.8
54 100.0 39926.9
56 100.0 37900.2
58 100.0 34029.9
60 100.0 31110.2
62 100.0 27452.9
64 100.0 24821.3
66 100.0 22141.5
68 100.0 20307.0
70 100.0 18145.8
0 96.0 64534.9
2 96.0 63705.7
4 96.0 54789.7
6 96.0 47046.7
8 96.0 42854.7
10 96.0 41417.2
12 96.0 40171.8
14 96.0 40336.2
16 96.0 41411.2
18 96.0 47502.3
20 96.0 47510.9
22 96.0 46098.4
24 96.0 43123.3
26 96.0 41540.2
28 96.0 41104.2
30 96.0 42648.1
32 96.0 44401.6
34 96.0 44089.2
36 96.0 42882.0
38 96.0 39979.9
40 96.0 39067.9
42 96.0 37052.0
44 96.0 35734.9
46 96.0 32900.2
48 96.0 31306.3
50 96.0 30968.7
52 96.0 34574.7
54 96.0 36730.0
56 96.0 36233.1
58 96.0 33337.8
60 96.0 30634.8
62 96.0 26795.0
64 96.0 23309.9
66 96.0 20496.1
68 96.0 19755.1
70 96.0 18018.4
0 92.0 59116.9
2 92.0 57426.7
4 92.0 53554.6
6 92.0 47186.0
8 92.0 43687.5
10 92.0 41146.3
12 92.0 39959.6
14 92.0 39232.6
16 92.0 39949.0
18 92.0 45191.8
20 92.0 45408.7
22 92.0 44491.5
24 92.0 41221.0
26 92.0 38672.0
28 92.0 38222.1
30 92.0 39125.9
